iter	Passed	Remaining
0	149	149120
1	149	74800
2	152	50551
3	154	38501
4	156	31105
5	158	26179
6	159	22662
7	161	20027
8	163	17972
9	164	16328
10	166	14999
11	168	13844
12	169	12834
13	170	11973
14	170	11223
15	171	10555
16	172	9961
17	172	9436
18	173	8965
19	174	8537
20	175	8161
21	175	7819
22	176	7506
23	177	7222
24	178	6967
25	179	6727
26	180	6500
27	181	6287
28	182	6097
29	182	5911
30	183	5739
31	184	5574
32	184	5420
33	185	5276
34	186	5141
35	187	5014
36	187	4889
37	188	4777
38	189	4665
39	189	4558
40	190	4456
41	191	4362
42	192	4279
43	192	4192
44	193	4107
45	194	4027
46	194	3949
47	195	3878
48	196	3815
49	197	3747
50	197	3683
51	198	3619
52	199	3561
53	200	3507
54	200	3453
55	201	3398
56	202	3346
57	202	3295
58	203	3246
59	204	3199
60	204	3154
61	205	3109
62	206	3066
63	206	3025
64	207	2985
65	208	2945
66	208	2906
67	209	2869
68	210	2834
69	211	2803
70	211	2770
71	212	2740
72	213	2706
73	213	2674
74	214	2646
75	215	2618
76	215	2588
77	216	2559
78	217	2532
79	218	2507
80	218	2481
81	219	2457
82	219	2429
83	220	2404
84	221	2380
85	221	2357
86	222	2335
87	223	2313
88	223	2292
89	224	2272
90	225	2253
91	226	2234
92	227	2214
93	227	2196
94	228	2178
95	229	2160
96	230	2142
97	230	2125
98	231	2108
99	232	2092
100	233	2074
101	233	2059
102	234	2042
103	235	2027
104	235	2011
105	236	1996
106	237	1980
107	238	1965
108	238	1950
109	239	1935
110	240	1922
111	240	1910
112	241	1896
113	242	1884
114	243	1870
115	243	1856
116	244	1842
117	244	1830
118	245	1816
119	245	1803
120	246	1791
121	247	1778
122	247	1766
123	248	1754
124	249	1743
125	249	1731
126	250	1719
127	250	1707
128	251	1696
129	251	1686
130	252	1675
131	253	1665
132	253	1655
133	254	1646
134	255	1638
135	256	1628
136	257	1619
137	257	1609
138	258	1601
139	259	1592
140	260	1584
141	260	1574
142	261	1565
143	261	1556
144	262	1548
145	263	1539
146	263	1531
147	264	1522
148	265	1513
149	265	1505
150	266	1497
151	267	1490
152	267	1482
153	268	1475
154	269	1468
155	270	1461
156	270	1454
157	271	1446
158	272	1439
159	272	1432
160	273	1424
161	274	1417
162	274	1410
163	275	1403
164	276	1396
165	276	1390
166	277	1383
167	278	1376
168	278	1370
169	279	1363
170	279	1356
171	280	1350
172	281	1343
173	281	1337
174	282	1331
175	282	1324
176	283	1318
177	284	1313
178	285	1308
179	285	1302
180	286	1296
181	287	1291
182	288	1285
183	288	1281
184	289	1275
185	290	1270
186	290	1264
187	291	1259
188	292	1253
189	292	1247
190	293	1241
191	293	1236
192	294	1230
193	294	1225
194	295	1220
195	296	1214
196	296	1209
197	297	1204
198	297	1199
199	298	1194
200	299	1191
201	300	1186
202	301	1182
203	302	1178
204	302	1174
205	303	1170
206	304	1165
207	304	1161
208	305	1156
209	306	1152
210	307	1148
211	307	1143
212	308	1139
213	308	1134
214	309	1130
215	310	1126
216	310	1121
217	311	1117
218	312	1112
219	312	1108
220	313	1104
221	314	1100
222	315	1097
223	315	1094
224	316	1090
225	317	1087
226	318	1083
227	318	1079
228	319	1075
229	320	1071
230	320	1067
231	321	1063
232	321	1059
233	322	1054
234	322	1050
235	323	1046
236	323	1042
237	324	1038
238	324	1034
239	325	1030
240	325	1026
241	326	1022
242	326	1018
243	327	1014
244	327	1010
245	328	1006
246	329	1004
247	330	1000
248	330	997
249	331	993
250	331	989
251	332	985
252	332	982
253	333	978
254	333	974
255	334	970
256	334	967
257	335	963
258	335	960
259	336	956
